Media Outlet,Ad Instance Date Time (EST),Ad Length,Net Cleared,P25-54 Imps +3 (Actual),CPM,Ad,Program,Program Genre,Feed,Market,Attributes,Ad Instance ID
Dr Oz,7/23/2021 10:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,MYRTLE BEACH  ,WPDE,33570027
Dr Oz,7/23/2021 15:38,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,NEW ORLEANS   ,WUPL,33570027
Dr Oz,7/24/2021 2:15,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,NEW ORLEANS   ,WWL ,33570027
Dr Oz,7/23/2021 13:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,NEW YORK      ,WNYW,33570027
Dr Oz,7/23/2021 14:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,NORFOLK       ,WVBT,33570027
Dr Oz,7/23/2021 16:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,NORTH PLATTE  ,KIIT,33570027
Dr Oz,7/23/2021 7:11,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,NORTH PLATTE  ,KIIT,33570027
Dr Oz,7/23/2021 11:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,OKLAHOMA CITY ,KOCO,33570027
Dr Oz,7/23/2021 14:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,OMAHA         ,KETV,33570027
Dr Oz,7/23/2021 14:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,ORLANDO       ,WOFL,33570027
Dr Oz,7/24/2021 0:50,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,OTTUMWA       ,KTVO,33570027
Dr Oz,7/23/2021 14:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,PADUCAH       ,WSIL,33570027
Dr Oz,7/23/2021 9:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,PALM SPRINGS  ,KPSP,33570027
Dr Oz,7/23/2021 15:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,PANAMA CITY   ,WMBB,33570027
Dr Oz,7/23/2021 15:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,PEORIA        ,WEEK,33570027
Dr Oz,7/23/2021 14:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,PHILADELPHIA  ,WTXF,33570027
Dr Oz,7/23/2021 13:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,PHOENIX       ,KSAZ,33570027
Dr Oz,7/23/2021 15:10,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,PHOENIX       ,KUTP,33570027
Dr Oz,7/24/2021 1:15,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,PITTSBURGH    ,WTAE,33570027
Dr Oz,7/23/2021 9:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,"PORTLAND,ME   ",WGME,33570027
Dr Oz,7/24/2021 1:15,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,"PORTLAND,OR   ",KATU,33570027
Dr Oz,7/23/2021 9:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,PRESQUE ISLE  ,WAGM,33570027
Dr Oz,7/23/2021 10:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,PROVIDENCE    ,ENAC,33570027
Dr Oz,7/23/2021 14:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,QUINCY        ,NHQA,33570027
Dr Oz,7/23/2021 9:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,RALEIGH       ,WLFL,33570027
Dr Oz,7/23/2021 15:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,RAPID CITY    ,KOTA,33570027
Dr Oz,7/23/2021 12:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,RICHMOND      ,WUPV,33570027
Dr Oz,7/23/2021 15:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,ROANOKE       ,WZBJ,33570027
Dr Oz,7/23/2021 16:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,"ROCHESTER,MN  ",KXLT,33570027
Dr Oz,7/24/2021 3:11,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,"ROCHESTER,MN  ",KXLT,33570027
Dr Oz,7/23/2021 9:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,"ROCHESTER,NY  ",WROC,33570027
Dr Oz,7/23/2021 14:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,ROCKFORD      ,WTVO,33570027
Dr Oz,7/23/2021 10:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,SALISBURY     ,WMDT,33570027
Dr Oz,7/23/2021 14:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,SALT LAKE CITY,KSTU,33570027
Dr Oz,7/24/2021 2:41,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,SALT LAKE CITY,KSTU,33570027
Dr Oz,7/23/2021 11:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,SAN ANGELO    ,KTXE,33570027
Dr Oz,7/24/2021 0:14,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,SAN ANGELO    ,KTXE,33570027
Dr Oz,7/23/2021 15:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,SAN ANTONIO   ,WOAI,33570027
Dr Oz,7/23/2021 18:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,SAN DIEGO     ,NFMB,33570027
Dr Oz,7/23/2021 12:11,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,SAN FRANCISCO ,KICU,33570027
Dr Oz,7/23/2021 13:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,SAN FRANCISCO ,KTVU,33570027
Dr Oz,7/23/2021 14:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,SANTA BARBARA ,KEYT,33570027
Dr Oz,7/24/2021 3:11,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,SANTA BARBARA ,KKFX,33570027
Dr Oz,7/23/2021 14:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,SEATTLE       ,KONG,33570027
Dr Oz,7/24/2021 1:11,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,SEATTLE       ,KONG,33570027
Dr Oz,7/23/2021 15:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,SIOUX CITY    ,KCAU,33570027
Dr Oz,7/23/2021 9:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,SOUTH BEND    ,WMYS,33570027
Dr Oz,7/24/2021 2:11,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,SOUTH BEND    ,WMYS,33570027
Dr Oz,7/23/2021 14:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,SPOKANE       ,KXLY,33570027
Dr Oz,7/23/2021 17:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,"SPRINGFIELD,MA",WSHM,33570027
Dr Oz,7/23/2021 10:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,"SPRINGFIELD,MO",KYCW,33570027
Dr Oz,7/23/2021 8:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,ST JOSEPH     ,KNPN,33570027
Dr Oz,7/23/2021 12:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,ST LOUIS      ,MMOV,33570027
Dr Oz,7/23/2021 16:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,SYRACUSE      ,WNYS,33570027
Dr Oz,7/23/2021 9:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,TALLAHASSEE   ,WCTV,33570027
Dr Oz,7/23/2021 14:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,TAMPA         ,WMOR,33570027
Dr Oz,7/24/2021 2:11,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,TAMPA         ,WMOR,33570027
Dr Oz,7/23/2021 15:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,TERRE HAUTE   ,ETHI,33570027
Dr Oz,7/23/2021 10:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,TOLEDO        ,ETVG,33570027
Dr Oz,7/23/2021 9:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,TRAVERSE CITY ,WGTU,33570027
Dr Oz,7/23/2021 9:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,TRI CITIES    ,WJHL,33570027
Dr Oz,7/23/2021 14:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,TUCSON        ,KVOA,33570027
Dr Oz,7/23/2021 10:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,TULSA         ,KQCW,33570027
Dr Oz,7/23/2021 16:11,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,TWIN FALLS    ,KSVT,33570027
Dr Oz,7/23/2021 10:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,TWIN FALLS    ,KSVT,33570027
Dr Oz,7/23/2021 12:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,TYLER         ,MYTX,33570027
Dr Oz,7/23/2021 16:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,UTICA         ,WKTV,33570027
Dr Oz,7/24/2021 0:17,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,VICTORIA      ,KAVU,33570027
Dr Oz,7/23/2021 15:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,VICTORIA      ,KMOL,33570027
Dr Oz,7/23/2021 14:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,"WASHINGTON,DC ",WTTG,33570027
Dr Oz,7/23/2021 15:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,WATERTOWN     ,WNYF,33570027
Dr Oz,7/23/2021 10:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,WAUSAU        ,WZAW,33570027
Dr Oz,7/23/2021 15:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,WEST PALM BCH ,WPBF,33570027
Dr Oz,7/23/2021 16:11,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,WHEELING      ,GTRF,33570027
Dr Oz,7/23/2021 10:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,WHEELING      ,WTRF,33570027
Dr Oz,7/23/2021 15:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,WICHITA       ,KAKE,33570027
Dr Oz,7/23/2021 9:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,WILMINGTON    ,WWA2,33570027
Dr Oz,7/23/2021 16:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,YAKIMA        ,KAPP,33570027
Dr Oz,7/23/2021 15:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,YOUNGSTOWN    ,WKBN,33570027
Dr Oz,7/23/2021 6:09,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,YUMA          ,KECY,33570027
Dr Oz,7/23/2021 15:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,YUMA          ,NECY,33570027
Dr Oz,7/23/2021 17:08,:30,41.13,3.25,12.65538462,How Does Your Credit Grow 30 V2,THE DR. OZ SHOW,,Live,ZANESVILLE    ,WHIZ,33570027
DIRECTV SPORTS CLUSTER,6/28/2021 19:43,:30,0,,,How Does Your Credit Grow 30,FOX SPORTS 1,,Live,National,,33354785
DIRECTV SPORTS CLUSTER,6/28/2021 19:43,:30,0,,,How Does Your Credit Grow 30,FOX SPORTS 2,,Live,National,,33354785
DIRECTV SPORTS CLUSTER,6/28/2021 19:43,:30,0,,,How Does Your Credit Grow 30,MLB NETWORK,,Live,National,,33354785
DIRECTV SPORTS CLUSTER,6/28/2021 19:53,:30,0,,,How Does Your Credit Grow 30,NBA TV,,Live,National,,33354785
DIRECTV SPORTS CLUSTER,6/28/2021 19:47,:30,0,,,How Does Your Credit Grow 30,NFL NETWORK,,Live,National,,33354785
DIRECTV SPORTS CLUSTER,6/28/2021 19:38,:30,0,,,How Does Your Credit Grow 30,SEC NETWORK,,Live,National,,33354785
DIRECTV SPORTS CLUSTER,6/28/2021 19:28,:30,0,,,How Does Your Credit Grow 30,ESPN,,Live,National,,33354785
DIRECTV SPORTS CLUSTER,6/28/2021 19:47,:30,0,,,How Does Your Credit Grow 30,ESPN 2,,Live,National,,33354785
DIRECTV SPORTS CLUSTER,6/28/2021 19:59,:30,0,,,How Does Your Credit Grow 30,ESPNEWS,,Live,National,,33354785
DIRECTV SPORTS CLUSTER,6/28/2021 19:52,:30,0,,,How Does Your Credit Grow 30,NBC SPORTS NETWORK,,Live,National,,33354785
DIRECTV SPORTS CLUSTER,6/28/2021 19:55,:30,0,,,How Does Your Credit Grow 30,OUTDOOR CHANNEL,,Live,National,,33354785
DIRECTV SPORTS CLUSTER,6/28/2021 19:55,:30,0,,,How Does Your Credit Grow 30,CBS SPORTS NETWORK,,Live,National,,33354785
DIRECTV SPORTS CLUSTER,6/28/2021 19:45,:30,0,,,How Does Your Credit Grow 30,GOLF CHANNEL,,Live,National,,33354785
DIRECTV SPORTS CLUSTER,6/28/2021 19:21,:30,0,,,How Does Your Credit Grow 30,NHL NETWORK,,Live,National,,33354785
DIRECTV SPORTS CLUSTER,6/28/2021 19:45,:30,0,,,How Does Your Credit Grow 30,TVG NETWORK,,Live,National,,33354785
DIRECTV SPORTS CLUSTER,6/28/2021 19:45,:30,0,,,How Does Your Credit Grow 30,THE TENNIS CHANNEL,,Live,National,,33354785
DIRECTV SPORTS CLUSTER,6/28/2021 20:05,:30,0,,,How Does Your Credit Grow 30,ESPN U,,Live,National,,33354785
DIRECTV SPORTS CLUSTER,6/28/2021 19:45,:30,0,,,How Does Your Credit Grow 30,BIG 10 NETWORK,,Live,National,,33354785
DIRECTV SPORTS CLUSTER,6/28/2021 19:33,:30,0,,,How Does Your Credit Grow 30,LONGHORN NETWORK,,Live,National,,33354785
DIRECTV SPORTS CLUSTER,6/29/2021 16:57,:30,0,,,Open Sesame 30,FOX SPORTS 1,,Live,National,,33364614
DIRECTV SPORTS CLUSTER,6/29/2021 16:49,:30,0,,,Open Sesame 30,FOX SPORTS 2,,Live,National,,33364614
DIRECTV SPORTS CLUSTER,6/29/2021 16:52,:30,0,,,Open Sesame 30,MLB NETWORK,,Live,National,,33364614
DIRECTV SPORTS CLUSTER,6/29/2021 16:57,:30,0,,,Open Sesame 30,NBA TV,,Live,National,,33364614
DIRECTV SPORTS CLUSTER,6/29/2021 16:38,:30,0,,,Open Sesame 30,NFL NETWORK,,Live,National,,33364614
DIRECTV SPORTS CLUSTER,6/29/2021 16:51,:30,0,,,Open Sesame 30,SEC NETWORK,,Live,National,,33364614
DIRECTV SPORTS CLUSTER,6/29/2021 16:50,:30,0,,,Open Sesame 30,ESPN,,Live,National,,33364614
DIRECTV SPORTS CLUSTER,6/29/2021 16:47,:30,0,,,Open Sesame 30,ESPNEWS,,Live,National,,33364614
DIRECTV SPORTS CLUSTER,6/29/2021 16:30,:30,0,,,Open Sesame 30,NBC SPORTS NETWORK,,Live,National,,33364614
DIRECTV SPORTS CLUSTER,6/29/2021 16:49,:30,0,,,Open Sesame 30,OUTDOOR CHANNEL,,Live,National,,33364614
DIRECTV SPORTS CLUSTER,6/29/2021 16:55,:30,0,,,Open Sesame 30,CBS SPORTS NETWORK,,Live,National,,33364614
DIRECTV SPORTS CLUSTER,6/29/2021 16:47,:30,0,,,Open Sesame 30,GOLF CHANNEL,,Live,National,,33364614
DIRECTV SPORTS CLUSTER,6/29/2021 16:47,:30,0,,,Open Sesame 30,NHL NETWORK,,Live,National,,33364614
DIRECTV SPORTS CLUSTER,6/29/2021 16:56,:30,0,,,Open Sesame 30,TVG NETWORK,,Live,National,,33364614
DIRECTV SPORTS CLUSTER,6/29/2021 16:44,:30,0,,,Open Sesame 30,THE TENNIS CHANNEL,,Live,National,,33364614
DIRECTV SPORTS CLUSTER,6/29/2021 16:56,:30,0,,,Open Sesame 30,ESPN U,,Live,National,,33364614
DIRECTV SPORTS CLUSTER,6/29/2021 16:45,:30,0,,,Open Sesame 30,BIG 10 NETWORK,,Live,National,,33364614
DIRECTV SPORTS CLUSTER,6/29/2021 16:25,:30,0,,,Open Sesame 30,LONGHORN NETWORK,,Live,National,,33364614
DIRECTV SPORTS CLUSTER,7/1/2021 0:29,:30,0,,,How Does Your Credit Grow 30,FOX SPORTS 1,,Live,National,,33382110
DIRECTV SPORTS CLUSTER,7/1/2021 0:46,:30,0,,,How Does Your Credit Grow 30,FOX SPORTS 2,,Live,National,,33382110
DIRECTV SPORTS CLUSTER,7/1/2021 0:31,:30,0,,,How Does Your Credit Grow 30,MLB NETWORK,,Live,National,,33382110
DIRECTV SPORTS CLUSTER,7/1/2021 0:44,:30,0,,,How Does Your Credit Grow 30,NFL NETWORK,,Live,National,,33382110
DIRECTV SPORTS CLUSTER,7/1/2021 0:58,:30,0,,,How Does Your Credit Grow 30,SEC NETWORK,,Live,National,,33382110
DIRECTV SPORTS CLUSTER,7/1/2021 0:50,:30,0,,,How Does Your Credit Grow 30,ESPN,,Live,National,,33382110
DIRECTV SPORTS CLUSTER,7/1/2021 0:30,:30,0,,,How Does Your Credit Grow 30,ESPN 2,,Live,National,,33382110
DIRECTV SPORTS CLUSTER,7/1/2021 0:54,:30,0,,,How Does Your Credit Grow 30,ESPNEWS,,Live,National,,33382110
DIRECTV SPORTS CLUSTER,7/1/2021 0:31,:30,0,,,How Does Your Credit Grow 30,NBC SPORTS NETWORK,,Live,National,,33382110
DIRECTV SPORTS CLUSTER,7/1/2021 0:52,:30,0,,,How Does Your Credit Grow 30,OUTDOOR CHANNEL,,Live,National,,33382110
DIRECTV SPORTS CLUSTER,7/1/2021 0:51,:30,0,,,How Does Your Credit Grow 30,CBS SPORTS NETWORK,,Live,National,,33382110
DIRECTV SPORTS CLUSTER,7/1/2021 0:56,:30,0,,,How Does Your Credit Grow 30,GOLF CHANNEL,,Live,National,,33382110
DIRECTV SPORTS CLUSTER,7/1/2021 0:55,:30,0,,,How Does Your Credit Grow 30,NHL NETWORK,,Live,National,,33382110
DIRECTV SPORTS CLUSTER,7/1/2021 0:42,:30,0,,,How Does Your Credit Grow 30,TVG NETWORK,,Live,National,,33382110
DIRECTV SPORTS CLUSTER,7/1/2021 0:52,:30,0,,,How Does Your Credit Grow 30,THE TENNIS CHANNEL,,Live,National,,33382110
DIRECTV SPORTS CLUSTER,7/1/2021 0:47,:30,0,,,How Does Your Credit Grow 30,ESPN U,,Live,National,,33382110
DIRECTV SPORTS CLUSTER,7/1/2021 0:45,:30,0,,,How Does Your Credit Grow 30,BIG 10 NETWORK,,Live,National,,33382110
DIRECTV SPORTS CLUSTER,7/1/2021 0:37,:30,0,,,How Does Your Credit Grow 30,LONGHORN NETWORK,,Live,National,,33382110
DIRECTV SPORTS CLUSTER,7/2/2021 1:20,:30,0,,,Open Sesame 30,FOX SPORTS 2,,Live,National,,33402875
DIRECTV SPORTS CLUSTER,7/2/2021 0:56,:30,0,,,Open Sesame 30,MLB NETWORK,,Live,National,,33402875
DIRECTV SPORTS CLUSTER,7/2/2021 0:48,:30,0,,,Open Sesame 30,NBA TV,,Live,National,,33402875
DIRECTV SPORTS CLUSTER,7/2/2021 0:46,:30,0,,,Open Sesame 30,NFL NETWORK,,Live,National,,33402875
DIRECTV SPORTS CLUSTER,7/2/2021 0:49,:30,0,,,Open Sesame 30,SEC NETWORK,,Live,National,,33402875
DIRECTV SPORTS CLUSTER,7/2/2021 0:45,:30,0,,,Open Sesame 30,ESPN 2,,Live,National,,33402875
DIRECTV SPORTS CLUSTER,7/2/2021 0:32,:30,0,,,Open Sesame 30,ESPNEWS,,Live,National,,33402875
DIRECTV SPORTS CLUSTER,7/2/2021 0:27,:30,0,,,Open Sesame 30,NBC SPORTS NETWORK,,Live,National,,33402875
DIRECTV SPORTS CLUSTER,7/2/2021 0:51,:30,0,,,Open Sesame 30,CBS SPORTS NETWORK,,Live,National,,33402875
DIRECTV SPORTS CLUSTER,7/2/2021 0:48,:30,0,,,Open Sesame 30,GOLF CHANNEL,,Live,National,,33402875
DIRECTV SPORTS CLUSTER,7/2/2021 0:54,:30,0,,,Open Sesame 30,NHL NETWORK,,Live,National,,33402875
DIRECTV SPORTS CLUSTER,7/2/2021 0:56,:30,0,,,Open Sesame 30,TVG NETWORK,,Live,National,,33402875
DIRECTV SPORTS CLUSTER,7/2/2021 0:38,:30,0,,,Open Sesame 30,THE TENNIS CHANNEL,,Live,National,,33402875
DIRECTV SPORTS CLUSTER,7/2/2021 0:33,:30,0,,,Open Sesame 30,ESPN U,,Live,National,,33402875
DIRECTV SPORTS CLUSTER,7/2/2021 0:24,:30,0,,,Open Sesame 30,BIG 10 NETWORK,,Live,National,,33402875
DIRECTV SPORTS CLUSTER,7/2/2021 0:54,:30,0,,,Open Sesame 30,LONGHORN NETWORK,,Live,National,,33402875
DIRECTV SPORTS CLUSTER,7/3/2021 8:45,:30,0,,,How Does Your Credit Grow 30,FOX SPORTS 1,,Live,National,,33402876
DIRECTV SPORTS CLUSTER,7/3/2021 8:49,:30,0,,,How Does Your Credit Grow 30,MLB NETWORK,,Live,National,,33402876
DIRECTV SPORTS CLUSTER,7/3/2021 8:50,:30,0,,,How Does Your Credit Grow 30,NBA TV,,Live,National,,33402876
DIRECTV SPORTS CLUSTER,7/3/2021 8:50,:30,0,,,How Does Your Credit Grow 30,NFL NETWORK,,Live,National,,33402876
DIRECTV SPORTS CLUSTER,7/3/2021 8:44,:30,0,,,How Does Your Credit Grow 30,SEC NETWORK,,Live,National,,33402876
DIRECTV SPORTS CLUSTER,7/3/2021 8:22,:30,0,,,How Does Your Credit Grow 30,ESPN,,Live,National,,33402876
DIRECTV SPORTS CLUSTER,7/3/2021 8:43,:30,0,,,How Does Your Credit Grow 30,ESPN 2,,Live,National,,33402876
DIRECTV SPORTS CLUSTER,7/3/2021 8:47,:30,0,,,How Does Your Credit Grow 30,ESPNEWS,,Live,National,,33402876
DIRECTV SPORTS CLUSTER,7/3/2021 8:13,:30,0,,,How Does Your Credit Grow 30,NBC SPORTS NETWORK,,Live,National,,33402876
DIRECTV SPORTS CLUSTER,7/3/2021 8:54,:30,0,,,How Does Your Credit Grow 30,OUTDOOR CHANNEL,,Live,National,,33402876
DIRECTV SPORTS CLUSTER,7/3/2021 8:54,:30,0,,,How Does Your Credit Grow 30,CBS SPORTS NETWORK,,Live,National,,33402876
DIRECTV SPORTS CLUSTER,7/3/2021 8:46,:30,0,,,How Does Your Credit Grow 30,GOLF CHANNEL,,Live,National,,33402876
DIRECTV SPORTS CLUSTER,7/3/2021 8:43,:30,0,,,How Does Your Credit Grow 30,NHL NETWORK,,Live,National,,33402876
DIRECTV SPORTS CLUSTER,7/3/2021 8:41,:30,0,,,How Does Your Credit Grow 30,TVG NETWORK,,Live,National,,33402876
DIRECTV SPORTS CLUSTER,7/3/2021 8:46,:30,0,,,How Does Your Credit Grow 30,THE TENNIS CHANNEL,,Live,National,,33402876
DIRECTV SPORTS CLUSTER,7/3/2021 8:47,:30,0,,,How Does Your Credit Grow 30,ESPN U,,Live,National,,33402876
DIRECTV SPORTS CLUSTER,7/3/2021 8:32,:30,0,,,How Does Your Credit Grow 30,BIG 10 NETWORK,,Live,National,,33402876
DIRECTV SPORTS CLUSTER,7/3/2021 8:41,:30,0,,,How Does Your Credit Grow 30,LONGHORN NETWORK,,Live,National,,33402876
DIRECTV SPORTS CLUSTER,7/3/2021 10:33,:30,0,,,Open Sesame 30,FOX SPORTS 1,,Live,National,,33402877
DIRECTV SPORTS CLUSTER,7/3/2021 10:29,:30,0,,,Open Sesame 30,FOX SPORTS 2,,Live,National,,33402877
DIRECTV SPORTS CLUSTER,7/3/2021 10:38,:30,0,,,Open Sesame 30,MLB NETWORK,,Live,National,,33402877
DIRECTV SPORTS CLUSTER,7/3/2021 10:58,:30,0,,,Open Sesame 30,NBA TV,,Live,National,,33402877
DIRECTV SPORTS CLUSTER,7/3/2021 11:00,:30,0,,,Open Sesame 30,SEC NETWORK,,Live,National,,33402877
DIRECTV SPORTS CLUSTER,7/3/2021 10:37,:30,0,,,Open Sesame 30,ESPN,,Live,National,,33402877
DIRECTV SPORTS CLUSTER,7/3/2021 10:22,:30,0,,,Open Sesame 30,ESPN 2,,Live,National,,33402877
DIRECTV SPORTS CLUSTER,7/3/2021 10:35,:30,0,,,Open Sesame 30,ESPNEWS,,Live,National,,33402877
