Media Outlet,Ad Instance Date Time (EST),Ad Length,Net Cleared,P25-54 Imps +3 (Actual),CPM,Ad,Program,Program Genre,Feed,Market,Attributes,Ad Instance ID
TBS SUPERSTATION,7/2/2021 18:05,:15,3400,170,20,How Does Your Credit Grow 15,Family Guy,animated comedy / cartoon / cult classic / season copy / Sitcom,Dual,National,,33402821
FX NETWORK,7/2/2021 18:41,:30,127.5,51.6,2.470930233,How Does Your Credit Grow 30,The Purge: Election Year,action/adventure / Horror / sequel / suspense/thriller,Dual,National,LOC,33402836
TBS SUPERSTATION,7/2/2021 19:36,:30,6800,163,41.71779141,How Does Your Credit Grow 30,Bob's Burgers,animated comedy / cartoon / drama / family / season copy,Dual,National,,33402878
TURNER NETWORK TELEVISION,7/2/2021 20:11,:15,3825,198,19.31818182,How Does Your Credit Grow 15,Rogue One: A Star Wars Story,action/adventure / fantasy / sci-fi / spin-off,Dual,National,,33402880
ARTS & ENTERTAINMENT,7/2/2021 20:42,:30,365.5,26.55,13.76647834,How Does Your Credit Grow 30,The First 48,crime / Documentary / police,Dual,National,LOC,33402843
TBS SUPERSTATION,7/2/2021 20:50,:30,6800,165,41.21212121,Open Sesame 30,Black Panther,action/adventure / adaptation / fantasy / sci-fi / superheroes,Dual,National,,33402879
FX NETWORK,7/2/2021 21:27,:30,127.5,95.6,1.333682008,Open Sesame 30,Men in Black: International,action/adventure / Comedy / sci-fi / sequel,Dual,National,LOC,33402837
TURNER NETWORK TELEVISION,7/2/2021 21:28,:15,3825,205,18.65853659,Open Sesame 15,Rogue One: A Star Wars Story,action/adventure / fantasy / sci-fi / spin-off,Dual,National,,33402883
FX MOVIE CHANNEL,7/2/2021 22:22,:30,433.5,17,25.5,How Does Your Credit Grow 30,Mike and Dave Need Wedding Dates,Comedy / Romance / wedding,Dual,National,,33402857
QUEST,7/2/2021 22:33,:30,85,,,Open Sesame 30,Doomsday Preppers,Documentary / reality,Live,National,,33415489
Court TV Mystery,7/2/2021 23:32,:30,170,55,3.090909091,Open Sesame 30,Law & Order,action/adventure / courtroom / crime drama / drama / legal / police / season copy / suspense/thriller / troubled relationships / workplace,Live,National,,33402833
TBS SUPERSTATION,7/2/2021 23:33,:15,3400,145,23.44827586,Open Sesame 15,National Security,action/adventure / Comedy / crime / guy flick / modernized copy / police,Dual,National,,33402822
BLACK ENTERTAINMENT TELEVISION,7/4/2021 0:40,:30,765,104,7.355769231,How Does Your Credit Grow 30,Tyler Perry's Meet the Browns,comedy-drama / modernized copy,Dual,National,,33402826
